#Parameters = {Curva=0; DistanciaX=50; DistanciaY=50; Hcooper=0.035; Hfr=1.565; La=14; Lamda=61.2322; Lf=15; Lfdiv=15.30805; Lp=27; Placa=100; Wa=2; Wf=3; Wfdiv=1.6548; Wp=26.11}
#"Frequency / MHz"	"VSWR2 [Magnitude]"
#-------------------------------------
1500.0000000000	309.77626404751
1502.0000000000	310.89444257777
1504.0000000000	311.99256789140
1506.0000000000	313.07062907934
1508.0000000000	314.12860758144
1510.0000000000	315.16647714337
1512.0000000000	316.18420379705
1514.0000000000	317.18174586345
1516.0000000000	318.15905397837
1518.0000000000	319.11607113836
1520.0000000000	320.05273276765
1522.0000000000	320.96896680536
1524.0000000000	321.86469381019
1526.0000000000	322.73982708463
1528.0000000000	323.59427281697
1530.0000000000	324.42793023838
1532.0000000000	325.24069179855
1534.0000000000	326.03244335539
1536.0000000000	326.80306437933
1538.0000000000	327.55242817337
1540.0000000000	328.28040210546
1542.0000000000	328.98684785431
1544.0000000000	329.67162166779
1546.0000000000	330.33457463267
1548.0000000000	330.97555295646
1550.0000000000	331.59439825864
1552.0000000000	332.19094787332
1554.0000000000	332.76503515962
1556.0000000000	333.31648982349
1558.0000000000	333.84513824531
1560.0000000000	334.35080381659
1562.0000000000	334.83330728373
1564.0000000000	335.29246709872
1566.0000000000	335.72809977490
1568.0000000000	336.14002024897
1570.0000000000	336.52804224827
1572.0000000000	336.89197866122
1574.0000000000	337.23164191271
1576.0000000000	337.54684434220
1578.0000000000	337.83739858399
1580.0000000000	338.10311795036
1582.0000000000	338.34381681533
1584.0000000000	338.55931099979
1586.0000000000	338.74941815661
1588.0000000000	338.91395815503
1590.0000000000	339.05275346487
1592.0000000000	339.16562953825
1594.0000000000	339.25241518954
1596.0000000000	339.31294297259
1598.0000000000	339.34704955393
1600.0000000000	339.35456556721
1602.0000000000	339.33534771441
1604.0000000000	339.28924720235
1606.0000000000	339.21612079814
1608.0000000000	339.11583117650
1610.0000000000	338.98824725956
1612.0000000000	338.83324454939
1614.0000000000	338.65070545231
1616.0000000000	338.44051959380
1618.0000000000	338.20258412468
1620.0000000000	337.93680401697
1622.0000000000	337.64309234972
1624.0000000000	337.32137058315
1626.0000000000	336.97156882194
1628.0000000000	336.59362606640
1630.0000000000	336.18749045119
1632.0000000000	335.75311947087
1634.0000000000	335.29048019314
1636.0000000000	334.79954945700
1638.0000000000	334.28031405848
1640.0000000000	333.73277092033
1642.0000000000	333.15692724892
1644.0000000000	332.55280067415
1646.0000000000	331.92041937575
1648.0000000000	331.25982219375
1650.0000000000	330.57105872264
1652.0000000000	329.85418939069
1654.0000000000	329.10928552287
1656.0000000000	328.33642938787
1658.0000000000	327.53571422903
1660.0000000000	326.70724427957
1662.0000000000	325.85113476145
1664.0000000000	324.96751186816
1666.0000000000	324.05651273204
1668.0000000000	323.11828537527
1670.0000000000	322.15298864591
1672.0000000000	321.16079213798
1674.0000000000	320.14187609650
1676.0000000000	319.09643130773
1678.0000000000	318.02465897459
1680.0000000000	316.92677057800
1682.0000000000	315.80298772385
1684.0000000000	314.65354197668
1686.0000000000	313.47867468056
1688.0000000000	312.27863676606
1690.0000000000	311.05368854657
1692.0000000000	309.80409950145
1694.0000000000	308.53014804869
1696.0000000000	307.23212130693
1698.0000000000	305.91031484653
1700.0000000000	304.56503243201
1702.0000000000	303.19658575493
1704.0000000000	301.80529415861
1706.0000000000	300.39148435497
1708.0000000000	298.95549013412
1710.0000000000	297.49765206807
1712.0000000000	296.01831720744
1714.0000000000	294.51783877431
1716.0000000000	292.99657584958
1718.0000000000	291.45489305681
1720.0000000000	289.89316024257
1722.0000000000	288.31175215484
1724.0000000000	286.71104811893
1726.0000000000	285.09143171196
1728.0000000000	283.45329043762
1730.0000000000	281.79701539997
1732.0000000000	280.12300097841
1734.0000000000	278.43164450380
1736.0000000000	276.72334593643
1738.0000000000	274.99850754629
1740.0000000000	273.25753359654
1742.0000000000	271.50083003050
1744.0000000000	269.72880416269
1746.0000000000	267.94186437439
1748.0000000000	266.14041981472
1750.0000000000	264.32488010692
1752.0000000000	262.49565506078
1754.0000000000	260.65315439181
1756.0000000000	258.79778744716
1758.0000000000	256.92996150024
1760.0000000000	255.05008607792
1762.0000000000	253.15856784957
1764.0000000000	251.25581209691
1766.0000000000	249.34222248008
1768.0000000000	247.41820081270
1770.0000000000	245.48414684648
1772.0000000000	243.54045806471
1774.0000000000	241.58752948613
1776.0000000000	239.62575347817
1778.0000000000	237.65551958054
1780.0000000000	235.67721433891
1782.0000000000	233.69122114900
1784.0000000000	231.69792011099
1786.0000000000	229.69768789457
1788.0000000000	227.69089761470
1790.0000000000	225.67791871760
1792.0000000000	223.65911687793
1794.0000000000	221.63485390633
1796.0000000000	219.60548766754
1798.0000000000	217.57137200948
1800.0000000000	215.53285670274
1802.0000000000	213.49028739051
1804.0000000000	211.44400554916
1806.0000000000	209.39434845889
1808.0000000000	207.34164918507
1810.0000000000	205.28623656917
1812.0000000000	203.22843523016
1814.0000000000	201.16856557532
1816.0000000000	199.10694382118
1818.0000000000	197.04388202334
1820.0000000000	194.97968811617
1822.0000000000	192.91466596134
1824.0000000000	190.84911540506
1826.0000000000	188.78333234441
1828.0000000000	186.71760880158
1830.0000000000	184.65223300654
1832.0000000000	182.58748948772
1834.0000000000	180.52365916986
1836.0000000000	178.46101947960
1838.0000000000	176.39984445809
1840.0000000000	174.34040487987
1842.0000000000	172.28296837865
1844.0000000000	170.22779957897
1846.0000000000	168.17516023338
1848.0000000000	166.12530936529
1850.0000000000	164.07850341657
1852.0000000000	162.03499639970
1854.0000000000	159.99504005429
1856.0000000000	157.95888400733
1858.0000000000	155.92677593659
1860.0000000000	153.89896173693
1862.0000000000	151.87568568933
1864.0000000000	149.85719063158
1866.0000000000	147.84371813029
1868.0000000000	145.83550865439
1870.0000000000	143.83280174829
1872.0000000000	141.83583620549
1874.0000000000	139.84485024106
1876.0000000000	137.86008166313
1878.0000000000	135.88176804220
1880.0000000000	133.91014687805
1882.0000000000	131.94545576342
1884.0000000000	129.98793254375
1886.0000000000	128.03781547257
1888.0000000000	126.09534336133
1890.0000000000	124.16075572363
1892.0000000000	122.23429291236
1894.0000000000	120.31619624953
1896.0000000000	118.40670814793
1898.0000000000	116.50607222351
1900.0000000000	114.61453339802
1902.0000000000	112.73233799091
1904.0000000000	110.85973379982
1906.0000000000	108.99697016848
1908.0000000000	107.14429804159
1910.0000000000	105.30197000549
1912.0000000000	103.47024031405
1914.0000000000	101.64936489854
1916.0000000000	99.839601361046
1918.0000000000	98.041208950377
1920.0000000000	96.254448519632
1922.0000000000	94.479582464620
1924.0000000000	92.716874642444
1926.0000000000	90.966590269391
1928.0000000000	89.228995797376
1930.0000000000	87.504358768405
1932.0000000000	85.792947646205
1934.0000000000	84.095031624555
1936.0000000000	82.410880411779
1938.0000000000	80.740763990858
1940.0000000000	79.084952354731
1942.0000000000	77.443715216577
1944.0000000000	75.817321694665
1946.0000000000	74.206039971686
1948.0000000000	72.610136928453
1950.0000000000	71.029877751983
1952.0000000000	69.465525518100
1954.0000000000	67.917340748725
1956.0000000000	66.385580944222
1958.0000000000	64.870500091217
1960.0000000000	63.372348146432
1962.0000000000	61.891370497204
1964.0000000000	60.427807399465
1966.0000000000	58.981893394026
1968.0000000000	57.553856702178
1970.0000000000	56.143918601712
1972.0000000000	54.752292784463
1974.0000000000	53.379184696697
1976.0000000000	52.024790863635
1978.0000000000	50.689298199489
1980.0000000000	49.372883304417
1982.0000000000	48.075711749841
1984.0000000000	46.797937353516
1986.0000000000	45.539701445751
1988.0000000000	44.301132128064
1990.0000000000	43.082343525492
1992.0000000000	41.883435033581
1994.0000000000	40.704490560924
1996.0000000000	39.545579121569
1998.0000000000	38.406749926496
2000.0000000000	37.288035840375
2002.0000000000	36.189451173658
2004.0000000000	35.110990904625
2006.0000000000	34.052629894457
2008.0000000000	33.014322092912
2010.0000000000	31.995999731283
2012.0000000000	30.997572498330
2014.0000000000	30.018926693733
2016.0000000000	29.059924352262
2018.0000000000	28.120402330357
